model,H,condition,story,lag1_cosine_median,lag1_featurewise_corr_mean
pythia,128,normal,lifeanddeathontheoregontrail,0.8704283829949138,0.4047908956767065
pythia,128,normal,lifereimagined,0.8581474362963728,0.4246513335373548
pythia,128,normal,listo,0.8800031290706406,0.425780913317865
pythia,128,normal,mayorofthefreaks,0.8781253100300034,0.4229809262506598
pythia,128,normal,metsmagic,0.8520701546104815,0.39235626317181965
pythia,128,normal,mybackseatviewofagreatromance,0.8373541430404041,0.286360048413059
pythia,128,normal,myfathershands,0.8647574884569637,0.35394725912632746
pythia,128,normal,myfirstdaywiththeyankees,0.8812421068007396,0.37802926811804644
pythia,128,normal,naked,0.8776779689614935,0.3867134298939616
pythia,128,normal,notontheusualtour,0.8644365605928984,0.4365870755813617
pythia,128,normal,odetostepfather,0.8866253682838596,0.38585970763883903
pythia,128,normal,onlyonewaytofindout,0.8463954382374796,0.33884080850301207
pythia,128,normal,penpal,0.8672571904789855,0.4041802818821126
pythia,128,normal,quietfire,0.8360679763344777,0.4250608709902508
pythia,128,normal,reachingoutbetweenthebars,0.8401712783581876,0.3383594881586733
pythia,128,normal,shoppinginchina,0.8404955987911876,0.35670158829306914
pythia,128,normal,singlewomanseekingmanwich,0.83917301152621,0.32102876468453895
pythia,128,normal,sloth,0.8554067187157179,0.41366336004090587
pythia,128,normal,souls,0.850259383110723,0.38576220578737397
pythia,128,normal,stagefright,0.8771365778077779,0.39944772575370796
pythia,128,normal,stumblinginthedark,0.8756933151876316,0.4320110378439123
pythia,128,normal,superheroesjustforeachother,0.8317754702189928,0.29079595821903154
pythia,128,normal,sweetaspie,0.8084300475397699,0.36678942527674935
pythia,128,normal,swimmingwithastronauts,0.8643996578253685,0.40054217987649904
pythia,128,normal,thatthingonmyarm,0.8512301207054345,0.43246819051024876
pythia,128,normal,theadvancedbeginner,0.8500614295665729,0.3728018665174245
pythia,128,normal,theclosetthatateeverything,0.8639975759772046,0.3684423999175528
pythia,128,normal,thecurse,0.8425360002039118,0.37525612116162543
pythia,128,normal,thefreedomridersandme,0.8565119216320196,0.42599534157819385
pythia,128,normal,theinterview,0.8433819599658202,0.36984200193658373
pythia,128,normal,thepostmanalwayscalls,0.8375430595918791,0.3802274353186565
pythia,128,normal,theshower,0.8321224502772413,0.3528853025314069
pythia,128,normal,thetiniestbouquet,0.839248636468111,0.3499310721763494
pythia,128,normal,thetriangleshirtwaistconnection,0.8760858326965052,0.4007118612812401
pythia,128,normal,threemonths,0.8556158139210204,0.36977671044929306
pythia,128,normal,thumbsup,0.8918187227457348,0.41912438011530534
pythia,128,normal,tildeath,0.8811446432164564,0.3826516837095533
pythia,128,normal,treasureisland,0.829627410684129,0.3731150421078846
pythia,128,normal,undertheinfluence,0.849198714422401,0.3692935361315395
pythia,128,normal,vixenandtheussr,0.8567803560964935,0.38337810181995424
pythia,128,normal,waitingtogo,0.846393048304543,0.3479357976056198
pythia,128,normal,whenmothersbullyback,0.8410963312933464,0.34475724062309143
pythia,128,normal,wildwomenanddancingqueens,0.874888535434498,0.4067729899117225
pythia,128,ctx1,adollshouse,0.9539926453583103,0.34954404947904205
pythia,128,ctx1,adventuresinsayingyes,0.9513312608304096,0.3452267375200872
pythia,128,ctx1,afatherscover,0.93086802451208,0.2599420275868025
pythia,128,ctx1,againstthewind,0.9417437325418994,0.339530265868251
pythia,128,ctx1,alternateithicatom,0.9496480395994212,0.3537401959733943
pythia,128,ctx1,avatar,0.9348249960545669,0.3918733421928333
pythia,128,ctx1,backsideofthestorm,0.95409577093344,0.32007537687495635
pythia,128,ctx1,becomingindian,0.9572881129925661,0.31362273028622445
pythia,128,ctx1,beneaththemushroomcloud,0.9503169583753228,0.3412994925802857
pythia,128,ctx1,birthofanation,0.955475101697006,0.36092265342380053
pythia,128,ctx1,bluehope,0.9430556287189293,0.40760348574496463
pythia,128,ctx1,breakingupintheageofgoogle,0.9561024175764183,0.3810456586618489
pythia,128,ctx1,buck,0.9418209478565968,0.33237322149834725
pythia,128,ctx1,catfishingstrangerstofindmyself,0.9400116822528285,0.24206115756338029
pythia,128,ctx1,cautioneating,0.945809575014418,0.40997897251246807
pythia,128,ctx1,christmas1940,0.9457761787023935,0.335704775654252
pythia,128,ctx1,cocoonoflove,0.9450114346690351,0.4104370826906649
pythia,128,ctx1,comingofageondeathrow,0.9554099563552676,0.28803053096042647
pythia,128,ctx1,exorcism,0.9543965968671547,0.44515661919980226
pythia,128,ctx1,eyespy,0.9506722803130558,0.41042536622186737
pythia,128,ctx1,firetestforlove,0.9557883987342699,0.3678695253865582
pythia,128,ctx1,food,0.9508556558189609,0.3961882636007914
pythia,128,ctx1,forgettingfear,0.951268061532393,0.38826310707016637
pythia,128,ctx1,fromboyhoodtofatherhood,0.962074765926983,0.4208424277043561
pythia,128,ctx1,gangstersandcookies,0.9543148636607494,0.40667419682270073
