subject,fold,story,n_trs,n_eff_tr,mask_bit_identical,n_mask_difference
UTS02,fold_0,thetriangleshirtwaistconnection,202,157,True,0
UTS02,fold_0,thumbsup,414,369,True,0
UTS02,fold_0,waitingtogo,349,304,True,0
UTS02,fold_0,wildwomenanddancingqueens,189,144,True,0
UTS02,fold_1,adollshouse,241,196,True,0
UTS02,fold_1,alternateithicatom,343,298,True,0
UTS02,fold_1,avatar,367,322,True,0
UTS02,fold_1,becomingindian,388,343,True,0
UTS02,fold_1,birthofanation,264,219,True,0
UTS02,fold_1,bluehope,409,364,True,0
UTS02,fold_1,catfishingstrangerstofindmyself,326,281,True,0
UTS02,fold_1,cocoonoflove,429,384,True,0
UTS02,fold_1,comingofageondeathrow,349,304,True,0
UTS02,fold_1,exorcism,467,422,True,0
UTS02,fold_1,goldiethegoldfish,317,272,True,0
UTS02,fold_1,golfclubbing,201,156,True,0
UTS02,fold_1,haveyoumethimyet,496,451,True,0
UTS02,fold_1,howtodraw,354,309,True,0
UTS02,fold_1,ifthishaircouldtalk,249,204,True,0
UTS02,fold_1,leavingbaghdad,327,282,True,0
UTS02,fold_1,legacy,400,355,True,0
UTS02,fold_1,myfirstdaywiththeyankees,358,313,True,0
UTS02,fold_1,onlyonewaytofindout,382,337,True,0
UTS02,fold_1,reachingoutbetweenthebars,296,251,True,0
UTS02,fold_1,sloth,437,392,True,0
UTS02,fold_1,sweetaspie,157,112,True,0
UTS02,fold_1,thefreedomridersandme,334,289,True,0
UTS02,fold_1,theinterview,221,176,True,0
UTS02,fold_1,theshower,392,347,True,0
UTS02,fold_1,thetiniestbouquet,171,126,True,0
UTS02,fold_1,tildeath,323,278,True,0
UTS02,fold_1,whenmothersbullyback,307,262,True,0
UTS02,fold_2,againstthewind,170,125,True,0
UTS02,fold_2,beneaththemushroomcloud,342,297,True,0
UTS02,fold_2,eyespy,379,334,True,0
UTS02,fold_2,firetestforlove,318,273,True,0
UTS02,fold_2,forgettingfear,237,192,True,0
UTS02,fold_2,fromboyhoodtofatherhood,348,303,True,0
UTS02,fold_2,gangstersandcookies,256,211,True,0
UTS02,fold_2,inamoment,205,160,True,0
UTS02,fold_2,itsabox,355,310,True,0
UTS02,fold_2,jugglingandjesus,193,148,True,0
UTS02,fold_2,kiksuya,332,287,True,0
